Name,Identifier,Operating system,Deprecation date,Block function create,Block function update
.NET 6,dotnet6,Amazon Linux 2,"Dec 20, 2024","Feb 28, 2025","Mar 31, 2025"
Python 3.8,python3.8,Amazon Linux 2,"Oct 14, 2024","Feb 28, 2025","Mar 31, 2025"
Node.js 16,nodejs16.x,Amazon Linux 2,"Jun 12, 2024","Feb 28, 2025","Mar 31, 2025"
.NET 7 (container only),dotnet7,Amazon Linux 2,"May 14, 2024",N/A,N/A
Java 8,java8,Amazon Linux,"Jan 8, 2024","Feb 8, 2024","Feb 28, 2025"
Go 1.x,go1.x,Amazon Linux,"Jan 8, 2024","Feb 8, 2024","Feb 28, 2025"
OS-only Runtime,provided,Amazon Linux,"Jan 8, 2024","Feb 8, 2024","Feb 28, 2025"
Ruby 2.7,ruby2.7,Amazon Linux 2,"Dec 7, 2023","Jan 9, 2024","Feb 28, 2025"
Node.js 14,nodejs14.x,Amazon Linux 2,"Dec 4, 2023","Jan 9, 2024","Feb 28, 2025"
Python 3.7,python3.7,Amazon Linux,"Dec 4, 2023","Jan 9, 2024","Feb 28, 2025"
.NET Core 3.1,dotnetcore3.1,Amazon Linux 2,"Apr 3, 2023","Apr 3, 2023","May 3, 2023"
Node.js 12,nodejs12.x,Amazon Linux 2,"Mar 31, 2023","Mar 31, 2023","Apr 30, 2023"
Python 3.6,python3.6,Amazon Linux,"Jul 18, 2022","Jul 18, 2022","Aug 29, 2022"
.NET 5 (container only),dotnet5.0,Amazon Linux 2,"May 10, 2022",N/A,N/A
.NET Core 2.1,dotnetcore2.1,Amazon Linux,"Jan 5, 2022","Jan 5, 2022","Apr 13, 2022"
Node.js 10,nodejs10.x,Amazon Linux 2,"Jul 30, 2021","Jul 30, 2021","Feb 14, 2022"
Ruby 2.5,ruby2.5,Amazon Linux,"Jul 30, 2021","Jul 30, 2021","Mar 31, 2022"
Python 2.7,python2.7,Amazon Linux,"Jul 15, 2021","Jul 15, 2021","May 30, 2022"
Node.js 8.10,nodejs8.10,Amazon Linux,"Mar 6, 2020",N/A,"Mar 6, 2020"
Node.js 4.3,nodejs4.3,Amazon Linux,"Mar 5, 2020",N/A,"Mar 5, 2020"
Node.js 4.3 edge,nodejs4.3-edge,Amazon Linux,"Mar 5, 2020",N/A,"Apr 30, 2019"
Node.js 6.10,nodejs6.10,Amazon Linux,"Aug 12, 2019","Aug 12, 2019",N/A
.NET Core 1.0,dotnetcore1.0,Amazon Linux,"Jun 27, 2019",N/A,"Jul 30, 2019"
.NET Core 2.0,dotnetcore2.0,Amazon Linux,"May 30, 2019",N/A,"May 30, 2019"
Node.js 0.10,nodejs,Amazon Linux,N/A,N/A,"Oct 31, 2016"
